"id","name","customization_type","default_price","is_active","created_at","option_group_name","is_required","is_multi_select","display_order","is_default"
"3","Cucumber","remove","0.00","true","2026-01-01T10:20:16.682Z",,"false","false","0","false"
"7","Egg yolk","remove","0.00","true","2026-01-01T10:20:49.079Z",,"false","false","0","false"
"8","Add egg","addon","2.00","true","2026-01-01T10:21:58.961Z",,"false","false","0","false"
"9","Salt","remove","0.00","true","2026-01-01T10:22:06.964Z",,"false","false","0","false"
"10","Pepper","remove","0.00","true","2026-01-01T10:22:13.933Z",,"false","false","0","false"
"11","Sauce","remove","0.00","true","2026-01-01T10:22:21.875Z",,"false","false","0","false"
"13","Butter","remove","0.00","true","2026-01-01T10:22:35.051Z",,"false","false","0","false"
"14","Herbs","remove","0.00","true","2026-01-01T10:22:40.891Z",,"false","false","0","false"
"15","Olive oil","remove","0.00","true","2026-01-01T10:22:28.836Z",,"false","false","0","false"
"18","Onions","remove","0.00","true","2026-01-01T10:22:47.498Z",,"false","false","0","false"
"19","Garlic","remove","0.00","true","2026-01-01T10:22:53.700Z",,"false","false","0","false"
"20","Spices","remove","0.00","true","2026-01-01T10:22:59.140Z",,"false","false","0","false"
"21","Dressing","remove","0.00","true","2026-01-01T10:23:04.998Z",,"false","false","0","false"
"22","Cheese","remove","0.00","true","2026-01-01T10:23:12.762Z",,"false","false","0","false"
"23","Croutons","remove","0.00","true","2026-01-01T10:23:19.002Z",,"false","false","0","false"
"24","Nuts / Seeds","remove","0.00","true","2026-01-01T10:25:56.483Z",,"false","false","0","false"
"25","Avocado","remove","0.00","true","2026-01-01T10:26:02.323Z",,"false","false","0","false"
"26","Bread","remove","0.00","true","2026-01-01T10:26:07.615Z",,"false","false","0","false"
"27","Jam / Honey","remove","0.00","true","2026-01-01T10:26:17.884Z",,"false","false","0","false"
"28","Tomatoes","remove","0.00","true","2026-01-01T10:26:24.476Z",,"false","false","0","false"
"29","Lettuce","remove","0.00","true","2026-01-01T10:26:33.035Z",,"false","false","0","false"
"30","Pickles","remove","0.00","true","2026-01-01T10:26:39.132Z",,"false","false","0","false"
"31","Grilled Vegetables","remove","0.00","true","2026-01-01T10:26:45.993Z",,"false","false","0","false"
"32","Sugar","remove","0.00","true","2026-01-01T10:26:52.348Z",,"false","false","0","false"
"33","Extra olive oil","addon","1.00","true","2026-01-01T10:27:24.378Z",,"false","false","0","false"
"34","Extra bread","addon","1.50","true","2026-01-01T10:27:42.536Z",,"false","false","0","false"
"35","Extra sauce","addon","3.00","true","2026-01-01T10:27:51.044Z",,"false","false","0","false"
"36","Extra cheese","addon","2.00","true","2026-01-01T10:27:56.867Z",,"false","false","0","false"
"37","Add Side green salad","addon","2.00","true","2026-01-01T10:28:03.630Z",,"false","false","0","false"
"38","Add fries","addon","5.00","true","2026-01-01T10:28:11.326Z",,"false","false","0","false"
"39","Extra feta","addon","2.00","true","2026-01-01T10:28:17.583Z",,"false","false","0","false"
"40","Extra halloumi","addon","2.00","true","2026-01-01T10:28:29.757Z",,"false","false","0","false"
"41","Toasted bread slices","addon","1.00","true","2026-01-01T10:28:39.345Z",,"false","false","0","false"
"42","Extra nuts","addon","1.50","true","2026-01-01T10:28:53.175Z",,"false","false","0","false"
"43","Add grilled chicken","addon","4.50","true","2026-01-01T10:29:06.167Z",,"false","false","0","false"
"44","Add grilled halloumi","addon","2.00","true","2026-01-01T10:29:14.844Z",,"false","false","0","false"
"45","Add caramelized onions","addon","1.00","true","2026-01-01T10:29:26.720Z",,"false","false","0","false"
"46","Add Side vegetables","addon","3.50","true","2026-01-01T10:30:24.789Z",,"false","false","0","false"
"47","Butter & jam","addon","1.00","true","2026-01-01T10:30:37.645Z",,"false","false","0","false"
"48","Add Honey","addon","1.00","true","2026-01-01T10:30:45.356Z",,"false","false","0","false"
"49","Add Fresh fruits","addon","4.00","true","2026-01-01T10:30:57.383Z",,"false","false","0","false"
"50","Extra Yogurt","addon","3.00","true","2026-01-01T10:31:05.455Z",,"false","false","0","false"
"51","Extra coffee shot","addon","1.50","true","2026-01-01T10:31:13.285Z",,"false","false","0","false"
"52","Add Almond milk","addon","2.00","true","2026-01-01T10:31:29.238Z",,"false","false","0","false"
"53","Add caramel syrup","addon","1.00","true","2026-01-01T10:31:36.754Z",,"false","false","0","false"
"54","Add vanilla syrup","addon","1.00","true","2026-01-01T10:31:43.160Z",,"false","false","0","false"
"55","Add caramel sugar free syrup","addon","1.00","true","2026-01-01T10:31:50.921Z",,"false","false","0","false"
"56","Add vanilla Sugar free syrup","addon","1.00","true","2026-01-01T10:32:03.445Z",,"false","false","0","false"
"57","Extra fries","addon","5.00","true","2026-01-01T10:32:15.771Z",,"false","false","0","false"
"58","Add boiled egg","addon","2.00","true","2026-01-01T10:32:25.547Z",,"false","false","0","false"
"59","Fries","remove","0.00","true","2026-01-01T10:32:40.783Z",,"false","false","0","false"
"60","Extra grilled chicken","addon","4.50","true","2026-01-01T10:32:51.736Z",,"false","false","0","false"
"61","Bechamel","remove","0.00","true","2026-01-01T10:33:01.617Z",,"false","false","0","false"
"62","Ham","option","0.00","true","2026-01-01T10:34:11.804Z","Protein","false","false","0","false"
"63","Extra Cucumber","addon","1.00","true","2026-01-01T10:34:19.719Z",,"false","false","0","false"
"64","Turkey","option","0.00","true","2026-01-01T10:34:30.488Z","Protein","false","false","0","false"
"65","Chickpeas","remove","0.00","true","2026-01-01T10:34:37.147Z",,"false","false","0","false"
"66","Baby Rocca","remove","0.00","true","2026-01-01T10:34:42.803Z",,"false","false","0","false"
"67","Sauce Hollandaise","remove","0.00","true","2026-01-01T10:35:00.026Z",,"false","false","0","false"
